Repo, URL, size (KB), intent functions, slots, data sink module, sinks found
aaronstaves/alexa-fresh-pantry-dressing, https://github.com/aaronstaves/alexa-fresh-pantry-dressing, 19, 5, 1, n/a, n/a
aaronstaves/alexa-fresh-pantry-rub, https://github.com/aaronstaves/alexa-fresh-pantry-rub, 19, 6, 1, n/a, n/a
adityaekbote/cooper-alexa, https://github.com/adityaekbote/cooper-alexa, 18, 4, 4, request-promise, 1
alexa-js/alexa-app-example, https://github.com/alexa-js/alexa-app-example, 20, 1, 1, n/a, n/a
alexbariyev/alexa-where-is-my-beer, https://github.com/alexbariyev/alexa-where-is-my-beer, 10, 1, 1, n/a, n/a
amaurer/hellokt, https://github.com/amaurer/hellokt, 26, 3, 0, n/a, n/a
an0nemous/onthemenu, https://github.com/an0nemous/onthemenu, 2087, 2, 3, n/a, n/a
arahoomam/CUMTD-Skill, https://github.com/arahoomam/CUMTD-Skill, 11, 2, 1, request, 0
artifactdev/alexa-fahrplan-dresden, https://github.com/artifactdev/alexa-fahrplan-dresden, 42, 6, 6, n/a, n/a
arturoceballos/reminders-skill, https://github.com/arturoceballos/reminders-skill, 17, 3, 3, n/a, n/a
Atranok/alexa-skill-a-lotteries-app, https://github.com/Atranok/alexa-skill-a-lotteries-app, 18, 5, 1, n/a, n/a
Atranok/alexa-skill-escape-app, https://github.com/Atranok/alexa-skill-escape-app, 18, 9, 0, n/a, n/a
AWzone/MathFacts, https://github.com/AWzone/MathFacts, 34, 5, 1, n/a, n/a
BedlamBros/urbandictionary-alexa, https://github.com/BedlamBros/urbandictionary-alexa, 1218, 1, 1, n/a, n/a
bignerdranch/alexa-airportinfo, https://github.com/bignerdranch/alexa-airportinfo, 62, 1, 1, request-promise, 1
Bisonburger/directv-alexa-control, https://github.com/Bisonburger/directv-alexa-control, 64, 7, 5, request-promise, 1
borantaylan/alexa-getmenu-skill, https://github.com/borantaylan/alexa-getmenu-skill, 17, 1, 1, request, 1
BrightPeak/alexa-nest, https://github.com/BrightPeak/alexa-nest, 19, 4, 1, request, 2
brooksgarrett/GAFireWeather, https://github.com/brooksgarrett/GAFireWeather, 25, 5, 1, request, 1
callahant/alexa-skylanderpedia, https://github.com/callahant/alexa-skylanderpedia, 4, 2, 1, n/a, n/a
carusocr/alexa_shopper, https://github.com/carusocr/alexa_shopper, 17, 3, 1, n/a, n/a
carusocr/moody, https://github.com/carusocr/moody, 5, 3, 1, n/a, n/a
chelmyers/alexa-skill, https://github.com/chelmyers/alexa-skill, 13, 1, 1, n/a, n/a
chrisdeely/alexa-pick-flick, https://github.com/chrisdeely/alexa-pick-flick, 163, 5, 1, n/a, n/a
christi3k/alexa-calagator, https://github.com/christi3k/alexa-calagator, 22, 1, 2, request-promise, 1
Chriton/Alexa-Jenkins, https://github.com/Chriton/Alexa-Jenkins, 413, 7, 1, request-promise, 3
claudiuo/alexa-faa-info, https://github.com/claudiuo/alexa-faa-info, 19, 1, 1, request-promise, 1
coldlink/alexa-node-wol, https://github.com/coldlink/alexa-node-wol, 73, 1, 1, n/a, n/a
colto/yo_momma, https://github.com/colto/yo_momma, 19, 5, 0, request-promise, 1
crikeli/faa-info, https://github.com/crikeli/faa-info, 2591, 1, 1, request-promise, 1
cwdcwd/alexa-garagebaer, https://github.com/cwdcwd/alexa-garagebaer, 17, 2, 1, request-promise, 2
dale3h/alexa-smartstart, https://github.com/dale3h/alexa-smartstart, 21, 7, 0, n/a, n/a
dale3h/show-tree, https://github.com/dale3h/show-tree, 19, 6, 3, n/a, n/a
deniswells59/alexa-mad-libs, https://github.com/deniswells59/alexa-mad-libs, 25, 2, 3, n/a, n/a
deniswells59/alexa-response, https://github.com/deniswells59/alexa-response, 13, 1, 1, request, 0
dennis-learningpool/alexa-insult-skill, https://github.com/dennis-learningpool/alexa-insult-skill, 13, 1, 1, n/a, n/a
dennis-learningpool/alexa-jira-skill, https://github.com/dennis-learningpool/alexa-jira-skill, 30, 2, 2, n/a, n/a
dennis-learningpool/alexa-slack-skill, https://github.com/dennis-learningpool/alexa-slack-skill, 25, 1, 1, n/a, n/a
dev-dee/letterjumble, https://github.com/dev-dee/letterjumble, 34, 10, 1, n/a, n/a
discopatrick/whats-in-my-freezer, https://github.com/discopatrick/whats-in-my-freezer, 8, 1, 1, n/a, n/a
divyakrishnan91/AlloBaby_alexa_skill, https://github.com/divyakrishnan91/AlloBaby_alexa_skill, 9, 1, 1, n/a, n/a
dlo83/alexa-mbta, https://github.com/dlo83/alexa-mbta, 48, 1, 1, request-promise, 1
dlo83/faa-info, https://github.com/dlo83/faa-info, 19, 1, 1, request-promise, 1
dly9014/helloAlexa, https://github.com/dly9014/helloAlexa, 14, 1, 1, n/a, n/a
dmcglinchey2779/Alexa_Airport_Info, https://github.com/dmcglinchey2779/Alexa_Airport_Info, 13, 1, 1, request-promise, 1
doofer/alexa-test, https://github.com/doofer/alexa-test, 25, 3, 2, request, 0
DreSam911/Alexa-Foobar-app, https://github.com/DreSam911/Alexa-Foobar-app, 26, 1, 1, n/a, n/a
DreSam911/alexa-skill-app_seating, https://github.com/DreSam911/alexa-skill-app_seating, 33, 1, 1, n/a, n/a
dunnbro/Alexa---Savage-Love-prototype-code, https://github.com/dunnbro/Alexa---Savage-Love-prototype-code, 8, 1, 1, request, 1
emanzanoaxa/alexa-tvseries, https://github.com/emanzanoaxa/alexa-tvseries, 36, 3, 1, n/a, n/a
fadnavis/bubble-alexa-skill, https://github.com/fadnavis/bubble-alexa-skill, 2982, 8, 1, request-promise, 2
forever0516/alexa_go, https://github.com/forever0516/alexa_go, 42, 4, 1, n/a, n/a
gibbsoft/alexa_backwards, https://github.com/gibbsoft/alexa_backwards, 12, 1, 1, n/a, n/a
Gibs13/minecraft-trivia-game, https://github.com/Gibs13/minecraft-trivia-game, 23, 4, 1, n/a, n/a
gitJoshW/AlexaMendixUniversity, https://github.com/gitJoshW/AlexaMendixUniversity, 15, 2, 0, request-promise, 2
gitJoshW/FAAAirportInfo, https://github.com/gitJoshW/FAAAirportInfo, 13, 1, 1, request-promise, 1
hidace/alexa-travel-advisory, https://github.com/hidace/alexa-travel-advisory, 722, 5, 1, n/a, n/a
hnoesekabel/faa-info, https://github.com/hnoesekabel/faa-info, 18, 4, 1, request-promise, 1
homayeekazim/alexaJames, https://github.com/homayeekazim/alexaJames, 32, 12, 1, request-promise, 11
hpganesh1/AlexaVCLogs, https://github.com/hpganesh1/AlexaVCLogs, 18, 1, 1, request-promise, 1
huberf/mpal, https://github.com/huberf/mpal, 9, 1, 1, request, 1
illiniLaundry/illiniLaundry-alexa, https://github.com/illiniLaundry/illiniLaundry-alexa, 26, 4, 1, request-promise, 1
jacobsin/odb-alexa, https://github.com/jacobsin/odb-alexa, 19, 6, 1, n/a, n/a
jimsorock/baby-trakr, https://github.com/jimsorock/baby-trakr, 23, 2, 1, n/a, n/a
Jishaxe/madlexa, https://github.com/Jishaxe/madlexa, 8, 1, 1, n/a, n/a
jjpatel361/alexa-chef, https://github.com/jjpatel361/alexa-chef, 29, 2, 1, request-promise, 1
jlastrachan/alexa_skill_rotten_tomatoes, https://github.com/jlastrachan/alexa_skill_rotten_tomatoes, 3785, 1, 1, request-promise, 1
Jlevyd15/alexa-movie-ratings, https://github.com/Jlevyd15/alexa-movie-ratings, 27, 4, 1, request-promise, 1
Jlevyd15/tahoe-snow, https://github.com/Jlevyd15/tahoe-snow, 494, 4, 1, request-promise, 1
jlippold/alexa-app_find-my-phones, https://github.com/jlippold/alexa-app_find-my-phones, 22, 2, 1, n/a, n/a
jmhardison/isgame-online-lambda, https://github.com/jmhardison/isgame-online-lambda, 6332, 4, 1, n/a, n/a
jnotting/alexaSkill, https://github.com/jnotting/alexaSkill, 13, 1, 1, n/a, n/a
joecodecreations/alexa-assistant, https://github.com/joecodecreations/alexa-assistant, 10, 1, 1, n/a, n/a
joecodecreations/flash_cards_alexa, https://github.com/joecodecreations/flash_cards_alexa, 19, 5, 1, request, 1
Jordomav/alexa-display, https://github.com/Jordomav/alexa-display, 20, 4, 1, request, 3
Jordomav/alexa-greeting, https://github.com/Jordomav/alexa-greeting, 17, 2, 1, n/a, n/a
Jordomav/alexa-itunes, https://github.com/Jordomav/alexa-itunes, 20, 2, 1, request, 2
joselaradelamo/alexaTwitter, https://github.com/joselaradelamo/alexaTwitter, 11, 3, 1, n/a, n/a
jpetrocik/alexa-mythtv, https://github.com/jpetrocik/alexa-mythtv, 51, 7, 1, n/a, n/a
jpollard-cs/alexa-movie-and-tv-info, https://github.com/jpollard-cs/alexa-movie-and-tv-info, 18, 1, 1, request-promise, 1
jpriebe/ruuvu, https://github.com/jpriebe/ruuvu, 13, 3, 1, n/a, n/a
jspooner/alexa-faa-example, https://github.com/jspooner/alexa-faa-example, 22, 1, 1, request-promise, 1
juliomiy/faviosmom_alexa, https://github.com/juliomiy/faviosmom_alexa, 55, 6, 4, request-promise, 4
jwarvel/alexa-marketing-cloud, https://github.com/jwarvel/alexa-marketing-cloud, 20835, 6, 1, request-promise, 3
jwdempsey/SongCast, https://github.com/jwdempsey/SongCast, 41, 6, 7, request-promise, 4
k3yb0ardn1nja/alexa-skill-nfl-crime, https://github.com/k3yb0ardn1nja/alexa-skill-nfl-crime, 73, 4, 0, n/a, n/a
karlbunch/alexa-catfeeder, https://github.com/karlbunch/alexa-catfeeder, 15, 2, 1, request-promise, 2
karlbunch/alexa-influxdb, https://github.com/karlbunch/alexa-influxdb, 31, 1, 1, n/a, n/a
kenibarwick/hello_alexa, https://github.com/kenibarwick/hello_alexa, 13, 2, 2, n/a, n/a
kenibarwick/my_phone, https://github.com/kenibarwick/my_phone, 4752, 1, 1, request, 0
Kenji776/AlexaTestSkill, https://github.com/Kenji776/AlexaTestSkill, 10, 1, 1, n/a, n/a
khernand/AlexaSkill, https://github.com/khernand/AlexaSkill, 180, 1, 0, n/a, n/a
kielni/alexa-hillbrook, https://github.com/kielni/alexa-hillbrook, 1104, 3, 1, request-promise, 1
KinzataDev/Alexa-KoppsFlavorOfTheDay, https://github.com/KinzataDev/Alexa-KoppsFlavorOfTheDay, 202, 4, 1, request-promise, 1
kpdunn/NewThingsJar, https://github.com/kpdunn/NewThingsJar, 14, 3, 1, n/a, n/a
lenafaure/alexaHealthSkill, https://github.com/lenafaure/alexaHealthSkill, 11, 4, 1, n/a, n/a
lenafaure/alexaServer, https://github.com/lenafaure/alexaServer, 13, 5, 1, n/a, n/a
lll4592/alexa-lambda-test, https://github.com/lll4592/alexa-lambda-test, 13, 1, 2, n/a, n/a
lxwvictor/alexa-local-express, https://github.com/lxwvictor/alexa-local-express, 19, 3, 1, n/a, n/a
marcrd/dex-alexa-skill, https://github.com/marcrd/dex-alexa-skill, 55, 1, 1, n/a, n/a
matt-kruse/echottt, https://github.com/matt-kruse/echottt, 19, 1, 1, n/a, n/a
